ID;name;gender;PeoplesCount;WhenPeoplesCount;
20225;Ада;women;25000;23.06.2016 14:22:35;
20226;Адаа;women;39;23.06.2016 14:22:44;
20227;Адавие;women;9;23.06.2016 14:22:51;
20228;Адавият;women;7;23.06.2016 14:22:59;
20229;Адавье;women;2;23.06.2016 14:23:07;
20230;Адаида;women;4;23.06.2016 14:23:15;
20231;Адаиль;women;0;23.06.2016 14:23:22;
20232;Адай;women;3000;23.06.2016 14:23:31;
20233;Адалаида;women;19;23.06.2016 14:23:39;
20234;Адалиада;women;1;23.06.2016 14:23:46;
20235;Адалина;women;378;23.06.2016 14:23:55;
20236;Адалия;women;63;23.06.2016 14:24:05;
20237;Адаль;women;16;23.06.2016 14:24:11;
20238;Адальберта;women;1;23.06.2016 14:24:18;
20239;Адальмина;women;11;23.06.2016 14:24:27;
20240;Адальфина;women;1;23.06.2016 14:24:34;
20241;Адаля;women;9;23.06.2016 14:24:43;
20242;Адалят;women;594;23.06.2016 14:24:51;
20243;Адама;women;2000;23.06.2016 14:24:59;
20244;Адамина;women;89;23.06.2016 14:25:07;
20245;Адана;women;143000;23.06.2016 14:25:15;
20246;Адане;women;2;23.06.2016 14:25:23;
20247;Адария;women;5;23.06.2016 14:25:30;
20248;Адарья;women;3;23.06.2016 14:25:39;
20249;Адасия;women;0;23.06.2016 14:25:46;
20250;Адась;women;54;23.06.2016 14:25:58;
20251;Адаська;women;3;23.06.2016 14:26:02;
20252;Адася;women;5;23.06.2016 14:26:10;
20253;Адафия;women;1;23.06.2016 14:26:18;
20254;Адая;women;13;23.06.2016 14:26:30;
20255;Адвентина;women;6;23.06.2016 14:26:37;
20256;Адверка;women;0;23.06.2016 14:26:42;
20257;Адвина;women;7;23.06.2016 14:26:51;
20258;Адда;women;78;23.06.2016 14:26:59;
20259;Адделина;women;2;23.06.2016 14:27:06;
20260;Адеалаида;women;0;23.06.2016 14:27:14;
20261;Адеалида;women;1;23.06.2016 14:27:22;
20262;Адеалина;women;1;23.06.2016 14:27:30;
20263;Адебенга;women;1;23.06.2016 14:27:38;
20264;Адегбанга;women;0;23.06.2016 14:27:46;
20265;Адеелия;women;4;23.06.2016 14:27:55;
20266;Адеида;women;1;23.06.2016 14:28:02;
20267;Адеина;women;3;23.06.2016 14:28:11;
20268;Адей;women;51;23.06.2016 14:28:19;
20269;Адейла;women;1;23.06.2016 14:28:27;
20270;Адейля;women;1;23.06.2016 14:28:34;
20271;Адека;women;286;23.06.2016 14:28:43;
20272;Адела;women;416;23.06.2016 14:28:51;
20273;Аделада;women;0;23.06.2016 14:28:58;
20274;Аделае;women;1;23.06.2016 14:29:06;
20275;Аделаида;women;178000;23.06.2016 14:29:15;
20276;Аделаижа;women;2;23.06.2016 14:29:22;
20277;Аделаина;women;4;23.06.2016 14:29:30;
20278;Аделайда;women;25;23.06.2016 14:29:40;
20279;Аделанда;women;1;23.06.2016 14:29:47;
20280;Аделаыда;women;0;23.06.2016 14:29:54;
20281;Аделеида;women;0;23.06.2016 14:30:02;
20282;Аделея;women;1;23.06.2016 14:30:10;
20283;Адели;women;241;23.06.2016 14:30:19;
20284;Аделиада;women;12;23.06.2016 14:30:27;
20285;Аделида;women;10;23.06.2016 14:30:35;
20286;Аделина;women;36000;23.06.2016 14:30:43;
20287;Аделиня;women;1;23.06.2016 14:30:50;
20288;Аделия;women;4000;23.06.2016 14:30:59;
20289;Аделка;women;30;23.06.2016 14:31:07;
20290;Аделла;women;171;23.06.2016 14:31:15;
20291;Аделлаида;women;11;23.06.2016 14:31:23;
20292;Аделли;women;2;23.06.2016 14:31:30;
20293;Аделлинда;women;3;23.06.2016 14:31:38;
20294;Аделоида;women;8;23.06.2016 14:31:47;
20295;Адель;women;23000;23.06.2016 14:31:55;
20296;Адельвина;women;7;23.06.2016 14:32:03;
20297;Адельгайда;women;0;23.06.2016 14:32:10;
20298;Адельгейда;women;7;23.06.2016 14:32:21;
20299;Адельда;women;3;23.06.2016 14:32:27;
20300;Адельина;women;7;23.06.2016 14:32:35;
20301;Аделька;women;1000;23.06.2016 14:32:43;
20302;Адельмина;women;7;23.06.2016 14:32:50;
20303;Адельфина;women;91;23.06.2016 14:32:59;
20304;Адельфия;women;15;23.06.2016 14:33:07;
20305;Адельша;women;58;23.06.2016 14:33:15;
20306;Адельши;women;0;23.06.2016 14:33:22;
20307;Аделья;women;359;23.06.2016 14:33:31;
20308;Аделя;women;20000;23.06.2016 14:33:39;
20309;Аделяна;women;22;23.06.2016 14:33:47;
20310;Адемина;women;3;23.06.2016 14:33:54;
20311;Адемия;women;32;23.06.2016 14:34:03;
20312;Адена;women;215;23.06.2016 14:34:15;
20313;Аденаида;women;1;23.06.2016 14:34:18;
20314;Аденда;women;2;23.06.2016 14:34:26;
20315;Аденола;women;0;23.06.2016 14:34:34;
20316;Адепя;women;1;23.06.2016 14:34:43;
20317;Адерике;women;0;23.06.2016 14:34:50;
20318;Адеринсола;women;0;23.06.2016 14:34:58;
20319;Адериту;women;4;23.06.2016 14:35:07;
20320;Адерми;women;0;23.06.2016 14:35:14;
20321;Адерша;women;2;23.06.2016 14:35:23;
20322;Адесина;women;0;23.06.2016 14:35:30;
20323;Адеслава;women;0;23.06.2016 14:35:38;
20324;Адетта;women;19;23.06.2016 14:35:47;
20325;Адефтина;women;2;23.06.2016 14:35:54;
20326;Адешина;women;16;23.06.2016 14:36:03;
20327;Адея;women;35;23.06.2016 14:36:12;
20328;Аджана;women;8;23.06.2016 14:36:19;
20329;Аджелина;women;13;23.06.2016 14:36:27;
20330;Аджика;women;91;23.06.2016 14:36:35;
20331;Аджир;women;5;23.06.2016 14:36:42;
20332;Аджира;women;2;23.06.2016 14:36:51;
20333;Адзип;women;9;23.06.2016 14:36:58;
20334;Адиала;women;2;23.06.2016 14:37:06;
20335;Адиаланда;women;0;23.06.2016 14:37:14;
20336;Адиалида;women;3;23.06.2016 14:37:23;
20337;Адиамида;women;0;23.06.2016 14:37:30;
20338;Адиба;women;546;23.06.2016 14:37:39;
20339;Адибя;women;3;23.06.2016 14:37:47;
20340;Адика;women;124;23.06.2016 14:37:55;
20341;Адила;women;249;23.06.2016 14:38:03;
20342;Адилага;women;1;23.06.2016 14:38:10;
20343;Адилаида;women;5;23.06.2016 14:38:21;
20344;Адиларида;women;0;23.06.2016 14:38:26;
20345;Адилина;women;38;23.06.2016 14:38:35;
20346;Адилия;women;207;23.06.2016 14:38:43;
20347;Адилуца;women;0;23.06.2016 14:38:50;
20348;Адиль;women;17000;23.06.2016 14:38:59;
20349;Адилья;women;23;23.06.2016 14:39:07;
20350;Адилэ;women;6;23.06.2016 14:39:24;
20351;Адиля;women;5000;23.06.2016 14:39:32;
20352;Адина;women;6000;23.06.2016 14:39:39;
20353;Адинаиза;women;0;23.06.2016 14:39:46;
20354;Адинай;women;896;23.06.2016 14:39:55;
20355;Адине;women;8;23.06.2016 14:40:03;
20356;Адинела;women;3;23.06.2016 14:40:11;
20357;Адиня;women;6;23.06.2016 14:40:19;
20358;Адиса;women;589;23.06.2016 14:40:27;
20359;Адислава;women;3;23.06.2016 14:40:35;
20360;Адисса;women;62;23.06.2016 14:40:43;
20361;Адитие;women;0;23.06.2016 14:40:50;
20362;Адитья;women;28;23.06.2016 14:40:59;
20363;Адитя;women;9;23.06.2016 14:41:08;
20364;Адиха;women;0;23.06.2016 14:41:14;
20365;Адия;women;2000;23.06.2016 14:41:23;
20366;Адиятулла;women;7;23.06.2016 14:41:30;
